[2025-12-24T22:10:33.184Z] 🧹 Cleanup starting (cutoff 2025-11-24T22:10:33.183Z)
[2025-12-24T22:10:33.192Z] ✅ Cleanup completed: 0 reports deleted
[2025-12-24T22:11:52.828Z] [Cleanup Job] Manual trigger at 2025-12-24T22:11:52.827Z
[2025-12-24T22:11:52.828Z] 🧹 Cleanup starting (cutoff 2025-11-24T22:11:52.828Z)
[2025-12-24T22:11:52.830Z] ✅ Cleanup completed: 0 reports deleted
[2025-12-30T23:31:10.746Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:31:17.347Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:31:29.808Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:31:36.678Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:31:52.599Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:32:59.875Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:33:12.451Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:33:24.917Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:33:36.514Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:33:46.884Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:33:57.625Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:34:19.271Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:34:26.527Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:36:30.954Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:39:18.808Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:39:30.626Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:39:40.109Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:39:57.971Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-30T23:40:26.674Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-31T08:37:18.017Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-31T09:48:42.880Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-31T09:48:57.513Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-31T09:58:43.747Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
[2025-12-31T10:09:50.831Z] ✅ Cleanup job scheduled (0 0 2 * * *) timezone=Asia/Manila, cutoffDays=30
